user_id,plan
1,enterprise
2,enterprise
3,enterprise
4,enterprise
5,enterprise
6,enterprise
7,enterprise
8,enterprise
9,enterprise
10,enterprise
11,enterprise
12,enterprise
13,enterprise
14,enterprise
15,enterprise
16,enterprise
17,enterprise
18,enterprise
19,enterprise
20,enterprise
21,enterprise
22,enterprise
23,enterprise
24,enterprise
25,enterprise
26,enterprise
27,enterprise
28,enterprise
29,enterprise
30,enterprise
31,enterprise
32,enterprise
33,enterprise
34,enterprise
35,enterprise
36,enterprise
37,enterprise
38,enterprise
39,enterprise
40,enterprise
41,enterprise
42,enterprise
43,enterprise
44,enterprise
45,enterprise
46,enterprise
47,enterprise
48,enterprise
49,enterprise
50,enterprise
51,pro
52,pro
53,pro
54,pro
55,pro
56,pro
57,pro
58,pro
59,pro
60,pro
61,pro
62,pro
63,pro
64,pro
65,pro
66,pro
67,pro
68,pro
69,pro
70,pro
71,pro
72,pro
73,pro
74,pro
75,pro
76,pro
77,pro
78,pro
79,pro
80,pro
81,pro
82,pro
83,pro
84,pro
85,pro
86,pro
87,pro
88,pro
89,pro
90,pro
91,pro
92,pro
93,pro
94,pro
95,pro
96,pro
97,pro
98,pro
99,pro
100,pro
